trustLevel|totalScanTimeInSeconds|grandTotal|lineItemVoids|scansWithoutRegistration|quantityModifications|scannedLineItemsPerSecond|valuePerSecond|lineItemVoidsPerPosition|fraud
6|1698|32.22|4|3|3|0.000588928150765607|0.0189752650176678|4.0|0
6|775|38.3|2|3|2|0.00258064516129032|0.0494193548387097|1.0|0
3|1636|70.4|8|9|4|0.00916870415647922|0.0430317848410758|0.5333333333333329|0
6|1555|92.3|4|8|0|0.0141479099678457|0.0593569131832797|0.18181818181818202|0
5|934|57.43|5|1|0|0.0235546038543897|0.0614882226980728|0.22727272727272702|0
2|1000|12.51|9|7|1|0.011000000000000001|0.01251|0.818181818181818|0
3|1585|2.88|10|0|1|0.0132492113564669|0.00181703470031546|0.47619047619047605|0
6|206|11.67|6|4|3|0.00970873786407767|0.0566504854368932|3.0|0
5|1581|65.84|9|5|4|0.00885515496521189|0.0416445287792536|0.6428571428571429|0
3|294|55.63|2|7|1|0.0374149659863946|0.18921768707482997|0.18181818181818202|0
2|1796|83.98|8|9|4|0.00779510022271715|0.0467594654788419|0.5714285714285711|0
4|1505|2.7|6|4|0|0.00332225913621262|0.0017940199335548198|1.2|0
4|1797|21.52|6|8|2|0.00890372843628269|0.0119755147468002|0.375|0
5|1051|98.8|5|7|3|0.00951474785918173|0.0940057088487155|0.5|0
2|1303|37.6|3|10|2|0.0153491941673062|0.0288564850345357|0.15|0
5|805|51.76|11|4|3|0.0062111801242236|0.0642981366459627|2.2|0
4|502|75.97|5|3|0|0.0278884462151394|0.15133466135458198|0.3571428571428571|0
5|1477|84.26|9|1|2|0.00609343263371699|0.0570480704129993|1.0|0
2|404|7.98|0|1|2|0.0668316831683168|0.0197524752475248|0.0|0
2|454|77.15|1|1|5|0.0616740088105727|0.169933920704846|0.0357142857142857|0
1|781|11.84|10|3|4|0.00768245838668374|0.0151600512163892|1.6666666666666698|0
5|521|78.7|11|10|5|0.0134357005758157|0.15105566218810001|1.57142857142857|0
3|19|20.01|7|8|4|0.0526315789473684|1.05315789473684|7.0|0
4|1176|42.45|6|6|0|0.00850340136054422|0.0360969387755102|0.6|0
1|1509|77.05|9|5|0|0.00596421471172962|0.0510603048376408|1.0|0
3|1054|89.39|5|6|3|0.0189753320683112|0.0848102466793169|0.25|0
5|1399|61.58|5|10|5|0.0114367405289492|0.0440171551107934|0.3125|0
5|1718|48.24|1|7|5|0.00407450523864959|0.0280791618160652|0.14285714285714302|0
5|1189|51.39|0|1|2|0.0235492010092515|0.0432211942809083|0.0|0
4|123|88.45|0|7|3|0.0650406504065041|0.7191056910569109|0.0|0
5|175|38.5|10|9|0|0.125714285714286|0.22|0.45454545454545503|0
1|37|41.8|6|3|1|0.027027027027027|1.12972972972973|6.0|0
2|63|72.05|10|0|1|0.33333333333333304|1.14365079365079|0.47619047619047605|0
5|487|83.51|2|6|5|0.0287474332648871|0.17147843942505098|0.14285714285714302|0
6|335|91.16|10|7|1|0.00597014925373134|0.27211940298507503|5.0|0
1|161|23.69|3|0|2|0.167701863354037|0.147142857142857|0.111111111111111|0
4|1830|23.73|6|4|0|0.0153005464480874|0.0129672131147541|0.214285714285714|0
1|213|29.27|4|7|0|0.0610328638497653|0.137417840375587|0.307692307692308|0
5|889|48.49|11|5|2|0.0326209223847019|0.0545444319460067|0.37931034482758597|0
5|767|58.42|11|9|5|0.0352020860495437|0.0761668839634941|0.407407407407407|0
2|820|75.59|5|1|0|0.00365853658536585|0.0921829268292683|1.6666666666666698|0
2|1117|80.84|5|1|3|0.0134288272157565|0.0723724261414503|0.33333333333333304|0
2|351|50.75|1|7|0|0.0455840455840456|0.144586894586895|0.0625|0
1|934|94.3|3|0|2|0.0139186295503212|0.10096359743040699|0.23076923076923103|0
5|33|65.62|5|1|5|0.0303030303030303|1.9884848484848503|5.0|0
2|1134|26.29|5|6|5|0.0246913580246914|0.0231834215167548|0.178571428571429|0
3|152|11.51|8|9|4|0.151315789473684|0.0757236842105263|0.34782608695652195|0
4|1654|71.48|8|10|2|0.0108827085852479|0.0432164449818622|0.444444444444444|0
4|13|73.98|10|9|5|1.46153846153846|5.69076923076923|0.526315789473684|0
1|1465|58.95|10|0|2|0.0170648464163823|0.0402389078498294|0.4|1
6|890|59.49|11|4|4|0.0112359550561798|0.0668426966292135|1.1|0
5|55|19.74|3|3|0|0.10909090909090899|0.358909090909091|0.5|0
4|1601|63.76|8|5|4|0.00749531542785759|0.0398251093066833|0.666666666666667|0
6|266|76.82|9|8|0|0.0902255639097744|0.288796992481203|0.375|0
5|756|8.12|1|1|1|0.0013227513227513199|0.0107407407407407|1.0|0
4|1546|10.98|10|9|2|0.0116429495472186|0.0071021992238033595|0.555555555555556|0
6|575|8.55|5|1|0|0.0504347826086957|0.0148695652173913|0.172413793103448|0
4|889|61.71|1|5|4|0.00224971878515186|0.0694150731158605|0.5|0
6|1079|76.13|10|2|4|0.0213160333642261|0.0705560704355885|0.43478260869565205|0
2|401|80.86|0|1|0|0.0199501246882793|0.201645885286783|0.0|0
2|1775|5.79|11|8|4|0.0140845070422535|0.00326197183098592|0.44|1
5|1138|78.7|3|5|0|0.0184534270650264|0.0691564147627417|0.14285714285714302|0
6|1053|35.03|1|5|1|0.0284900284900285|0.0332668566001899|0.0333333333333333|0
2|1230|95.63|5|7|3|0.0016260162601626|0.0777479674796748|2.5|0
2|820|79.73|7|4|1|0.0280487804878049|0.0972317073170732|0.304347826086957|0
3|1444|17.76|5|7|5|0.018005540166205|0.0122991689750693|0.19230769230769199|0
3|836|97.99|5|9|4|0.0179425837320574|0.11721291866028698|0.33333333333333304|0
6|472|83.98|5|4|0|0.0338983050847458|0.177923728813559|0.3125|0
2|43|94.91|10|1|4|0.32558139534883695|2.2072093023255803|0.7142857142857142|0
2|1146|42.83|1|4|5|0.0226876090750436|0.0373734729493892|0.0384615384615385|0
2|57|21.62|2|4|5|0.0175438596491228|0.37929824561403497|2.0|0
4|422|60.74|10|5|1|0.0497630331753555|0.1439336492891|0.47619047619047605|0
1|1485|26.27|4|6|3|0.0181818181818182|0.0176902356902357|0.148148148148148|1
1|1312|51.43|7|1|1|0.007621951219512191|0.0391996951219512|0.7|0
6|1136|99.39|10|3|5|0.0255281690140845|0.0874911971830986|0.34482758620689696|0
1|1280|14.65|10|0|3|0.0078125|0.0114453125|1.0|0
5|1698|33.71|9|5|1|0.0088339222614841|0.0198527679623086|0.6|0
2|1296|39.97|4|1|1|0.0154320987654321|0.030841049382715997|0.2|0
2|1502|80.34|10|5|5|0.0066577896138482|0.0534886817576565|1.0|0
3|845|92.07|6|6|3|0.00473372781065089|0.10895857988165698|1.5|0
3|1496|25.76|6|1|2|0.00267379679144385|0.0172192513368984|1.5|0
4|150|47.39|9|10|1|0.166666666666667|0.315933333333333|0.36|0
2|1197|75.33|5|1|0|0.0150375939849624|0.0629323308270677|0.277777777777778|0
5|642|73.45|10|10|5|0.043613707165109004|0.114408099688474|0.3571428571428571|0
5|494|44.76|1|9|4|0.0121457489878543|0.0906072874493927|0.166666666666667|0
2|895|27.48|11|1|5|0.0201117318435754|0.0307039106145251|0.6111111111111109|0
2|810|22.5|9|7|3|0.0135802469135802|0.0277777777777778|0.818181818181818|0
6|1829|22.63|7|5|0|0.014215418261344998|0.0123728813559322|0.269230769230769|0
1|1266|45.08|9|3|0|0.00631911532385466|0.035608214849921|1.125|0
4|572|88.48|9|6|4|0.034965034965035|0.15468531468531502|0.45|0
1|551|81.87|2|0|2|0.0054446460980036296|0.148584392014519|0.666666666666667|0
5|1014|50.31|7|6|0|0.0207100591715976|0.0496153846153846|0.33333333333333304|0
2|524|1.39|8|7|1|0.017175572519083998|0.00265267175572519|0.8888888888888891|0
3|1656|26.2|5|7|3|0.000603864734299517|0.0158212560386473|5.0|0
3|1731|76.79|3|2|3|0.0103986135181976|0.0443616406701329|0.166666666666667|0
4|1238|17.79|8|0|0|0.0153473344103393|0.0143699515347334|0.421052631578947|0
3|1516|62.16|3|10|5|0.00857519788918206|0.0410026385224274|0.23076923076923103|0
5|233|0.54|2|8|0|0.0815450643776824|0.00231759656652361|0.10526315789473699|0
4|405|97.38|7|4|4|0.0493827160493827|0.24044444444444396|0.35|0
3|1574|45.79|6|6|5|0.0177890724269377|0.0290914866581957|0.214285714285714|0
3|803|74.57|8|4|3|0.0049813200498132|0.0928642590286426|2.0|0
2|59|34.06|5|10|4|0.338983050847458|0.57728813559322|0.25|0
3|1227|9.43|9|4|0|0.006519967400163|0.00768541157294214|1.125|0
5|895|83.1|1|4|3|0.0033519553072625698|0.0928491620111732|0.33333333333333304|0
6|1269|81.52|3|8|4|0.0118203309692671|0.0642395587076438|0.2|0
2|109|24.32|10|0|5|0.100917431192661|0.22311926605504603|0.9090909090909091|0
6|1332|16.78|10|2|4|0.003003003003003|0.0125975975975976|2.5|0
6|680|92.4|7|10|3|0.0264705882352941|0.135882352941176|0.38888888888888895|0
1|1783|94.84|3|0|4|0.0151430173864274|0.0531912507010656|0.111111111111111|1
2|609|20.04|0|10|4|0.0197044334975369|0.0329064039408867|0.0|0
2|347|46.21|0|2|4|0.0778097982708934|0.133170028818444|0.0|0
2|374|51.06|6|2|2|0.0240641711229947|0.136524064171123|0.666666666666667|0
2|826|34.47|1|1|2|0.0024213075060532697|0.0417312348668281|0.5|0
4|1763|21.77|0|0|1|0.00623936471922859|0.0123482699943278|0.0|0
5|801|50.28|8|6|0|0.0162297128589263|0.0627715355805243|0.615384615384615|0
2|850|94.74|10|1|5|0.0058823529411764705|0.11145882352941199|2.0|0
5|450|13.67|5|2|0|0.0577777777777778|0.0303777777777778|0.19230769230769199|0
5|94|61.31|1|3|5|0.20212765957446802|0.652234042553192|0.0526315789473684|0
6|785|16.21|4|1|3|0.0063694267515923605|0.0206496815286624|0.8|0
1|1676|39.23|8|10|1|0.00477326968973747|0.0234069212410501|1.0|0
2|965|64.51|5|1|5|0.0186528497409326|0.0668497409326425|0.277777777777778|0
3|1587|30.25|3|1|0|0.00189035916824197|0.0190611216131065|1.0|0
1|1448|1.22|0|6|1|0.00138121546961326|0.000842541436464088|0.0|0
2|923|19.04|1|1|1|0.0119176598049837|0.0206283856988082|0.0909090909090909|0
3|1085|53.76|8|7|0|0.0046082949308755795|0.0495483870967742|1.6|0
5|942|16.19|9|3|1|0.00212314225053079|0.0171868365180467|4.5|0
6|510|31.96|10|4|3|0.0058823529411764705|0.0626666666666667|3.3333333333333304|0
3|1413|89.85|2|4|4|0.0212314225053079|0.063588110403397|0.0666666666666667|0
2|888|26.43|9|2|1|0.0225225225225225|0.0297635135135135|0.45|0
6|658|49.76|11|4|1|0.0243161094224924|0.0756231003039514|0.6875|0
4|445|28.06|0|4|4|0.0561797752808989|0.0630561797752809|0.0|0
1|397|41.89|5|5|0|0.0654911838790932|0.10551637279597|0.19230769230769199|1
2|772|10.02|9|3|5|0.0259067357512953|0.012979274611399|0.45|0
4|1299|43.15|1|3|3|0.0046189376443418|0.0332178598922248|0.166666666666667|0
2|822|55.56|7|5|2|0.0316301703163017|0.0675912408759124|0.269230769230769|0
3|1528|36.01|1|5|3|0.0130890052356021|0.0235667539267016|0.05|0
4|1015|57.97|2|4|2|0.0147783251231527|0.0571133004926108|0.133333333333333|0
1|1180|34.29|6|9|1|0.0101694915254237|0.0290593220338983|0.5|0
6|1352|33.23|2|6|2|0.0170118343195266|0.0245784023668639|0.0869565217391304|0
5|606|32.18|11|6|3|0.0462046204620462|0.0531023102310231|0.3928571428571429|0
1|1578|94.43|3|6|3|0.00190114068441065|0.0598415716096325|1.0|0
6|663|0.03|8|5|2|0.0407239819004525|4.52488687782805e-05|0.296296296296296|0
3|1705|71.83|0|6|2|0.0023460410557184803|0.0421290322580645|0.0|0
3|89|27.22|3|7|5|0.292134831460674|0.30584269662921304|0.115384615384615|0
6|871|99.46|4|10|3|0.0275545350172216|0.114190585533869|0.166666666666667|0
4|641|59.07|2|4|5|0.0280811232449298|0.0921528861154446|0.111111111111111|0
4|1412|88.07|1|8|1|0.0028328611898017|0.0623725212464589|0.25|0
4|575|70.21|2|4|2|0.0452173913043478|0.12210434782608699|0.0769230769230769|0
3|171|21.51|1|3|5|0.0994152046783626|0.125789473684211|0.0588235294117647|0
4|1683|74.66|8|7|3|0.0053475935828877|0.0443612596553773|0.8888888888888891|0
6|1336|63.49|6|9|4|0.00149700598802395|0.0475224550898204|3.0|0
4|1662|21.4|3|7|3|0.0120336943441637|0.0128760529482551|0.15|0
5|356|68.03|5|3|5|0.0196629213483146|0.191095505617978|0.7142857142857142|0
4|1793|4.58|7|1|4|0.0161740100390407|0.00255437813720022|0.24137931034482799|0
4|1375|67.81|11|7|3|0.00727272727272727|0.0493163636363636|1.1|0
2|166|23.92|11|2|5|0.07228915662650601|0.144096385542169|0.916666666666667|0
3|1233|49.14|2|4|3|0.016220600162206|0.0398540145985401|0.1|0
5|78|92.86|5|1|5|0.384615384615385|1.19051282051282|0.166666666666667|0
5|1308|15.42|10|4|1|0.0191131498470948|0.0117889908256881|0.4|0
4|949|13.41|5|3|3|0.0221285563751317|0.0141306638566913|0.23809523809523803|0
6|622|23.85|7|0|4|0.0466237942122186|0.0383440514469453|0.24137931034482799|0
2|681|0.61|3|8|2|0.026431718061674|0.000895741556534508|0.166666666666667|0
3|629|66.15|5|10|1|0.0365659777424483|0.10516693163752001|0.21739130434782603|0
5|1106|13.65|4|3|3|0.0036166365280289295|0.0123417721518987|1.0|0
5|999|53.77|2|8|1|0.021021021021021|0.0538238238238238|0.0952380952380952|0
5|90|87.4|7|2|4|0.0888888888888889|0.9711111111111109|0.875|0
2|553|43.31|5|0|3|0.00723327305605787|0.0783182640144666|1.25|0
5|1102|91.99|0|3|1|0.0254083484573503|0.08347549909255901|0.0|0
3|474|32.3|9|7|3|0.0379746835443038|0.0681434599156118|0.5|0
3|460|50.97|9|9|4|0.00434782608695652|0.11080434782608699|4.5|0
6|165|60.67|11|9|4|0.0181818181818182|0.36769696969696997|3.6666666666666696|0
2|1656|87.74|8|4|1|0.000603864734299517|0.0529830917874396|8.0|0
3|36|32.45|1|4|2|0.111111111111111|0.9013888888888891|0.25|0
5|1823|88.66|8|1|5|0.0131651124520022|0.0486341195831048|0.33333333333333304|0
2|1646|62.93|3|5|5|0.00243013365735115|0.038232077764277|0.75|0
4|1260|49.5|10|5|5|0.0015873015873015901|0.0392857142857143|5.0|0
2|452|81.76|0|10|3|0.0398230088495575|0.180884955752212|0.0|0
5|713|50.15|4|8|3|0.0350631136044881|0.0703366058906031|0.16|0
3|1176|21.93|3|10|4|0.00425170068027211|0.0186479591836735|0.6|0
6|584|81.16|7|10|0|0.035958904109589|0.13897260273972598|0.33333333333333304|0
5|231|91.23|10|2|2|0.0822510822510823|0.39493506493506497|0.526315789473684|0
5|999|14.99|6|1|5|0.012012012012012|0.015005005005005|0.5|0
3|1563|87.86|4|1|0|0.00575815738963532|0.056212412028151|0.444444444444444|0
5|1440|78.98|7|2|4|0.0125|0.0548472222222222|0.38888888888888895|0
5|599|24.54|2|6|2|0.0250417362270451|0.0409682804674457|0.133333333333333|0
5|1615|99.49|6|10|0|0.0074303405572755405|0.0616037151702786|0.5|0
4|1636|5.71|1|5|4|0.0134474327628362|0.00349022004889976|0.0454545454545455|0
3|1557|82.33|3|7|4|0.00321130378933847|0.0528773281952473|0.6|0
4|1221|20.33|6|7|0|0.0221130221130221|0.0166502866502867|0.222222222222222|0
1|275|65.55|1|5|1|0.0981818181818182|0.23836363636363603|0.037037037037037|0
6|1629|40.42|6|7|4|0.0135052179251074|0.0248127685696746|0.272727272727273|0
4|1160|98.4|9|2|4|0.0172413793103448|0.0848275862068966|0.45|0
4|529|2.09|6|4|0|0.00378071833648393|0.0039508506616257105|3.0|0
4|1463|59.89|11|9|5|0.0075187969924812|0.0409364319890636|1.0|0
3|1268|73.31|7|6|4|0.0141955835962145|0.0578154574132492|0.38888888888888895|0
1|1772|39.42|3|9|3|0.00225733634311512|0.0222460496613996|0.75|0
5|1248|58.5|9|5|3|0.0240384615384615|0.046875|0.3|0
1|424|61.96|5|2|4|0.0023584905660377397|0.146132075471698|5.0|0
5|1439|36.09|3|5|5|0.0062543432939541396|0.0250799166087561|0.33333333333333304|0
3|1072|89.13|0|3|1|0.00466417910447761|0.0831436567164179|0.0|0
6|1164|89.32|11|4|1|0.006872852233676979|0.0767353951890034|1.375|0
3|1389|98.2|1|4|1|0.0151187904967603|0.0706983441324694|0.0476190476190476|0
4|467|94.13|3|9|4|0.0406852248394004|0.201563169164882|0.157894736842105|0
2|1048|45.74|3|5|5|0.00477099236641221|0.0436450381679389|0.6|0
2|1253|40.43|4|6|1|0.0167597765363128|0.0322665602553871|0.19047619047619|0
5|992|8.43|10|0|0|0.0151209677419355|0.008497983870967741|0.666666666666667|0
1|218|41.93|4|7|2|0.0963302752293578|0.19233944954128399|0.19047619047619|0
1|996|71.94|7|0|1|0.0271084337349398|0.0722289156626506|0.25925925925925897|1
5|1716|94.48|4|5|2|0.00466200466200466|0.0550582750582751|0.5|0
5|78|74.44|0|2|5|0.35897435897435903|0.9543589743589741|0.0|0
2|1765|85.29|8|5|3|0.0113314447592068|0.0483229461756374|0.4|0
